ISIN,Security Name,Quantity,Price,Acquisition Price,Value,Currency,Weight
US0378331005,APPLE INC,100,150.25,120.50,15025.00,USD,5.25
US5949181045,MICROSOFT CORP,50,280.75,220.30,14037.50,USD,4.90
US0231351067,AMAZON.COM INC,25,3200.50,2800.75,80012.50,USD,27.95
US88160R1014,TESLA INC,75,800.25,750.00,60018.75,USD,20.97
US30303M1027,META PLATFORMS INC,40,325.75,280.50,13030.00,USD,4.55
XS2692298537,GOLDMAN SACHS 0% NOTES,690000,106.57,100.10,735333.00,USD,3.77
US67066G1040,NVIDIA CORP,30,450.25,300.00,13507.50,USD,4.72
US0846707026,BERKSHIRE HATHAWAY INC,10,450000.00,400000.00,4500000.00,USD,15.72
US4581401001,INTEL CORP,200,45.75,55.25,9150.00,USD,3.20
US7427181091,PROCTER & GAMBLE CO,120,155.50,145.75,18660.00,USD,6.52
